Capture_20MP_2024-Aug-12_12-3-02 Successfully Uploaded to google drive
Capture_20MP_2024-Aug-13_12-3-02 Successfully Uploaded to google drive
Succesfully UploadedCapture_20MP_2024-Aug-16_19-5-19.tiff
Succesfully UploadedCapture_108MP_2024-Aug-16_19-5-22.tiff
Succesfully UploadedCapture_20MP_2024-Aug-16_19-6-19.tiff
Succesfully UploadedCapture_108MP_2024-Aug-16_19-6-22.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-16_19-20-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-16_19-20-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-16_21-44-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-16_21-44-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_0-8-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_0-8-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_2-32-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_2-32-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_4-56-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_4-56-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_7-20-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_7-20-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_9-44-19.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_9-44-22.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_12-8-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_12-8-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_14-32-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_14-32-21.tiff
Succesfully Uploaded: Capture_20MP_2024-Aug-17_16-56-18.tiff
Succesfully Uploaded: Capture_108MP_2024-Aug-17_16-56-21.tiff
Succesfully Uploaded: Capture_20MP_2024-08-19_14-37-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-19_14-37-21.tiff

Succesfully Uploaded: Capture_20MP_2024-08-26_11-42-20.tiff
Succesfully Uploaded: Capture_108MP_2024-08-26_11-42-23.tiff
Succesfully Uploaded: Capture_20MP_2024-08-26_11-44-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-26_11-44-21.tiff
Succesfully Uploaded: Capture_20MP_2024-08-26_12-2-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-26_12-2-21.tiff
Succesfully Uploaded: Capture_20MP_2024-08-26_12-10-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-26_12-10-21.tiff
Succesfully Uploaded: Capture_20MP_2024-08-26_15-50-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-26_15-50-21.tiff
Succesfully Uploaded: Capture_20MP_2024-08-30_0-4-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-30_0-4-20.tiff
Succesfully Uploaded: Capture_20MP_2024-08-30_2-28-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-30_2-28-20.tiff
Succesfully Uploaded: Capture_20MP_2024-08-30_4-52-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-30_4-52-20.tiff
Succesfully Uploaded: Capture_20MP_2024-08-30_7-16-18.tiff
Succesfully Uploaded: Capture_108MP_2024-08-30_7-16-21.tiff
